=====================================================================
Created: 2013-11-15 16:25:11.715305
=====================================================================

CODE | VALUE | TYPE | TIME
4, 458792, 4, 1384561511.738682
28, 0, 1, 1384561511.738690
4, 458981, 4, 1384561515.34644
54, 1, 1, 1384561515.34652
4, 458763, 4, 1384561515.138654
35, 1, 1, 1384561515.138662
4, 458981, 4, 1384561515.186600
54, 0, 1, 1384561515.186607
4, 458756, 4, 1384561515.250653
30, 1, 1, 1384561515.250661
4, 458763, 4, 1384561515.290595
35, 0, 1, 1384561515.290599
4, 458773, 4, 1384561515.322646
19, 1, 1, 1384561515.322653
4, 458756, 4, 1384561515.386644
30, 0, 1, 1384561515.386651
4, 458773, 4, 1384561515.410610
19, 0, 1, 1384561515.410615
4, 458773, 4, 1384561515.490649
19, 1, 1, 1384561515.490657
4, 458780, 4, 1384561515.546651
21, 1, 1, 1384561515.546659
4, 458773, 4, 1384561515.578649
19, 0, 1, 1384561515.578657
4, 458796, 4, 1384561515.634628
57, 1, 1, 1384561515.634635
4, 458780, 4, 1384561515.666646
21, 0, 1, 1384561515.666653
4, 458796, 4, 1384561515.722646
57, 0, 1, 1384561515.722652
4, 458981, 4, 1384561515.842629
54, 1, 1, 1384561515.842637
4, 458771, 4, 1384561515.970642
25, 1, 1, 1384561515.970649
4, 458981, 4, 1384561516.74631
54, 0, 1, 1384561516.74639
4, 458770, 4, 1384561516.106639
24, 1, 1, 1384561516.106646
4, 458771, 4, 1384561516.122636
25, 0, 1, 1384561516.122642
4, 458770, 4, 1384561516.242587
24, 0, 1, 1384561516.242590
4, 458775, 4, 1384561516.282640
20, 1, 1, 1384561516.282647
4, 458775, 4, 1384561516.346645
20, 0, 1, 1384561516.346652
4, 458775, 4, 1384561516.426637
20, 1, 1, 1384561516.426645
4, 458775, 4, 1384561516.522621
20, 0, 1, 1384561516.522628
4, 458760, 4, 1384561516.546625
18, 1, 1, 1384561516.546632
4, 458773, 4, 1384561516.634644
19, 1, 1, 1384561516.634651
4, 458760, 4, 1384561516.706643
18, 0, 1, 1384561516.706650
4, 458773, 4, 1384561516.754587
19, 0, 1, 1384561516.754592
4, 458806, 4, 1384561517.66642
51, 1, 1, 1384561517.66650
4, 458806, 4, 1384561517.162639
51, 0, 1, 1384561517.162647
4, 458794, 4, 1384561517.714579
14, 1, 1, 1384561517.714583
4, 458794, 4, 1384561517.794563
14, 0, 1, 1384561517.794567
4, 458807, 4, 1384561518.90622
52, 1, 1, 1384561518.90630
4, 458807, 4, 1384561518.194628
52, 0, 1, 1384561518.194636
4, 458765, 4, 1384561518.642630
36, 1, 1, 1384561518.642638
4, 458765, 4, 1384561518.730627
36, 0, 1, 1384561518.730634
4, 458771, 4, 1384561518.834624
25, 1, 1, 1384561518.834632
4, 458771, 4, 1384561518.938627
25, 0, 1, 1384561518.938635
4, 458762, 4, 1384561519.122607
34, 1, 1, 1384561519.122614
4, 458762, 4, 1384561519.218622
34, 0, 1, 1384561519.218629
4, 458796, 4, 1384561520.178621
57, 1, 1, 1384561520.178630
4, 458796, 4, 1384561520.282623
57, 0, 1, 1384561520.282631
4, 458981, 4, 1384561520.682609
54, 1, 1, 1384561520.682618
4, 458758, 4, 1384561520.818617
46, 1, 1, 1384561520.818624
4, 458981, 4, 1384561520.874599
